RATA-RATA,NILAI UKK,PRAKERIN,Persentase_Kehadiran,Sikap,Status_Pembayaran_Administrasi,Aktual,Prediksi
79.87,80.83,87.0,80,3,1,1,1
77.99,79.42,90.0,90,3,1,1,1
79.07,81.68,88.0,90,4,1,1,1
81.68,79.06,94.0,90,4,1,1,1
79.15,77.46,90.0,80,3,1,1,1
81.02,82.82,87.0,90,3,0,0,1
84.56,83.33,87.0,80,4,1,1,1
80.34,87.32,80.0,80,3,1,1,1
79.37,79.29,90.0,90,4,1,1,1
79.47,79.31,96.0,90,4,1,1,1
85.02,80.63,93.0,80,3,1,1,1
80.23,78.8,80.0,90,4,1,1,1
80.21,85.34,96.0,80,3,1,1,1
76.19,72.98,86.0,90,4,1,1,1
81.73,80.5,92.0,80,4,1,1,1
85.86,86.08,90.0,90,4,1,1,1
77.42,76.48,86.0,80,3,1,1,1
79.24,78.73,89.0,90,4,1,1,1
82.65,82.17,92.0,80,3,1,1,1
75.85,72.03,84.0,90,3,1,1,1
78.58,76.67,97.0,80,3,1,1,1
84.07,87.87,92.0,90,4,1,1,1
83.37,84.19,91.0,80,3,1,1,1
83.04,87.15,90.0,80,3,1,1,1
81.92,81.18,85.0,90,4,1,1,1
81.78,84.52,83.0,90,4,1,1,1
79.45,77.97,77.0,90,3,1,1,1
79.25,80.44,83.0,90,3,1,1,1
79.98,80.37,85.0,90,4,1,1,1
81.78,83.78,86.0,90,3,1,1,1
83.27,86.72,98.0,80,3,1,1,1
75.36,79.75,84.0,90,3,1,1,1
78.09,75.51,95.0,90,4,1,1,1
82.33,80.24,86.0,90,4,1,1,1
84.49,90.38,90.0,80,4,1,1,1
81.87,78.97,82.0,90,4,1,1,1
75.65,72.91,83.0,90,3,1,1,1
77.14,73.51,92.0,80,4,1,1,1
77.91,76.17,87.0,80,3,1,1,1
77.65,72.81,93.0,90,3,1,1,1
80.29,79.49,93.0,80,4,1,1,1
75.96,81.97,96.0,80,3,1,1,1
77.07,84.1,84.0,80,3,1,1,1
79.75,82.92,92.0,90,3,1,1,1
82.52,78.97,82.0,90,3,1,1,1
74.86,76.76,85.0,80,3,1,1,1
79.65,82.04,87.0,80,3,1,1,1
75.54,69.88,94.0,70,3,1,1,1
80.27,81.38,89.0,80,3,1,1,1
69.87,68.83,70.0,70,3,1,1,1
81.49,82.96,91.0,80,3,1,1,1
80.61,83.3,89.0,80,3,1,1,1
75.57,75.45,82.0,90,4,1,1,1
78.38,78.69,85.0,80,3,1,1,1
78.08,78.37,88.0,90,3,1,1,1
83.59,85.36,98.0,80,3,1,1,1
82.11,79.98,82.0,90,4,1,1,1
79.37,83.65,85.0,90,3,1,1,1
80.65,80.76,89.0,90,4,1,1,1
75.1,70.53,81.0,90,4,1,1,1
82.28,85.45,87.0,90,4,1,1,1
76.06,75.45,86.0,90,4,1,1,1
77.31,78.39,90.0,80,4,1,1,1
