RATA-RATA,NILAI UKK,PRAKERIN,Persentase_Kehadiran,Sikap,Status_Pembayaran_Administrasi,Status_Kelulusan
76.21,79.43,85.00,90,Baik,Lunas,Lulus
79.37,83.65,85.00,90,Baik,Lunas,Lulus
73.73,76.71,83.00,90,Baik,Lunas,Lulus
81.08,84.26,85.00,90,Sangat Baik,Lunas,Lulus
72.01,70.00,84.00,90,Cukup,Lunas,Lulus
85.15,86.84,92.00,90,Sangat Baik,Lunas,Lulus
83.03,85.94,85.00,90,Sangat Baik,Lunas,Lulus
70.16,72.50,86.00,90,Cukup,Lunas,Lulus
78.60,81.81,84.00,90,Baik,Lunas,Lulus
74.20,76.81,86.00,90,Baik,Lunas,Lulus
83.54,87.12,85.00,90,Sangat Baik,Lunas,Lulus
73.59,77.73,85.00,90,Baik,Lunas,Lulus
73.64,77.84,76.00,90,Baik,Lunas,Lulus
75.36,79.75,84.00,90,Baik,Lunas,Lulus
84.07,87.87,92.00,90,Sangat Baik,Lunas,Lulus
73.77,80.27,89.00,90,Baik,Lunas,Lulus
75.47,74.26,89.00,90,Baik,Lunas,Lulus
84.19,84.29,82.00,90,Sangat Baik,Lunas,Lulus
79.67,78.59,81.00,90,Sangat Baik,Lunas,Lulus
74.17,76.57,86.00,80,Baik,Lunas,Lulus
80.29,79.49,93.00,80,Sangat Baik,Lunas,Lulus
77.31,78.39,90.00,80,Sangat Baik,Lunas,Lulus
75.66,75.68,89.00,80,Baik,Lunas,Lulus
78.86,78.37,83.00,80,Sangat Baik,Lunas,Lulus
80.09,83.44,83.00,80,Sangat Baik,Lunas,Lulus
85.25,84.48,97.00,80,Sangat Baik,Lunas,Lulus
73.66,77.01,82.00,90,Baik,Lunas,Lulus
75.24,77.68,80.00,90,Baik,Lunas,Lulus
75.58,75.03,90.00,90,Sangat Baik,Lunas,Lulus
77.76,81.31,79.00,90,Sangat Baik,Lunas,Lulus
72.64,71.35,83.00,90,Baik,Lunas,Lulus
73.05,71.42,76.00,90,Baik,Lunas,Lulus
78.67,75.23,94.00,90,Baik,Lunas,Lulus
82.01,84.15,96.00,90,Sangat Baik,Lunas,Lulus
67.19,68.33,64.00,80,Cukup,Lunas,Tidak Lulus
77.14,73.51,92.00,80,Sangat Baik,Lunas,Lulus
81.02,80.34,95.00,80,Sangat Baik,Lunas,Lulus
79.91,79.78,90.00,80,Sangat Baik,Lunas,Lulus
84.76,83.57,90.00,80,Sangat Baik,Lunas,Lulus
84.00,84.15,90.00,80,Sangat Baik,Lunas,Lulus
73.27,71.27,89.00,80,Baik,Lunas,Lulus
77.89,75.91,88.00,80,Sangat Baik,Lunas,Lulus
71.39,68.52,74.00,80,Baik,Lunas,Lulus
74.19,69.81,82.00,70,Baik,Lunas,Lulus
75.54,69.88,94.00,70,Baik,Lunas,Lulus
73.47,70.13,88.00,70,Baik,Lunas,Lulus
77.77,78.96,96.00,70,Baik,Lunas,Lulus
81.39,81.58,96.00,70,Sangat Baik,Lunas,Lulus
69.87,68.83,70.00,70,Baik,Lunas,Lulus
75.65,72.91,83.00,90,Baik,Lunas,Lulus
79.47,79.31,96.00,90,Sangat Baik,Lunas,Lulus
78.09,75.51,95.00,90,Sangat Baik,Lunas,Lulus
74.07,73.35,83.00,90,Baik,Lunas,Lulus
85.86,86.08,90.00,90,Sangat Baik,Lunas,Lulus
79.98,80.37,85.00,90,Sangat Baik,Lunas,Lulus
81.68,79.06,94.00,90,Sangat Baik,Lunas,Lulus
79.20,78.58,85.00,90,Sangat Baik,Lunas,Lulus
79.13,78.29,94.00,90,Sangat Baik,Lunas,Lulus
75.92,71.01,83.00,90,Sangat Baik,Lunas,Lulus
82.33,80.24,86.00,90,Sangat Baik,Lunas,Lulus
74.01,68.67,87.00,90,Baik,Lunas,Lulus
77.44,76.49,92.00,90,Baik,Lunas,Lulus
68.89,65.34,80.00,90,Cukup,Lunas,Lulus
75.18,72.73,88.00,90,Baik,Lunas,Lulus
77.06,76.04,85.00,90,Baik,Lunas,Lulus
82.26,77.50,93.00,90,Sangat Baik,Lunas,Lulus
76.43,72.68,91.00,90,Baik,Lunas,Lulus
78.76,76.95,91.00,90,Sangat Baik,Lunas,Lulus
76.84,74.73,84.00,90,Baik,Lunas,Lulus
80.06,77.18,90.00,90,Sangat Baik,Lunas,Lulus
75.54,70.38,81.00,90,Baik,Lunas,Lulus
75.53,70.18,82.00,90,Baik,Lunas,Lulus
76.87,72.33,93.00,90,Baik,Lunas,Lulus
76.96,72.51,91.00,90,Baik,Lunas,Lulus
76.97,73.40,90.00,90,Baik,Lunas,Lulus
77.55,73.98,84.00,90,Baik,Lunas,Lulus
74.71,68.64,90.00,90,Sangat Baik,Lunas,Lulus
81.82,78.17,93.00,90,Sangat Baik,Lunas,Lulus
70.83,68.83,83.00,90,Baik,Lunas,Lulus
79.07,77.38,89.00,90,Sangat Baik,Lunas,Lulus
72.83,67.64,86.00,90,Baik,Lunas,Lulus
77.65,72.81,93.00,90,Baik,Lunas,Lulus
78.90,78.19,90.00,90,Sangat Baik,Lunas,Lulus
73.03,66.30,90.00,90,Baik,Lunas,Lulus
77.23,74.46,93.00,90,Baik,Lunas,Lulus
70.24,69.01,87.00,90,Cukup,Lunas,Lulus
74.48,73.43,85.00,90,Baik,Lunas,Lulus
81.09,81.21,86.00,90,Sangat Baik,Lunas,Lulus
75.57,75.45,82.00,90,Sangat Baik,Lunas,Lulus
76.19,72.98,86.00,90,Sangat Baik,Lunas,Lulus
76.98,75.92,86.00,90,Sangat Baik,Lunas,Lulus
73.80,71.42,83.00,90,Sangat Baik,Lunas,Lulus
76.06,75.45,86.00,90,Sangat Baik,Lunas,Lulus
79.94,78.92,86.00,90,Sangat Baik,Lunas,Lulus
75.94,71.87,88.00,90,Sangat Baik,Lunas,Lulus
79.24,78.73,89.00,90,Sangat Baik,Lunas,Lulus
79.41,80.60,90.00,90,Sangat Baik,Lunas,Lulus
82.79,82.34,86.00,90,Sangat Baik,Lunas,Lulus
77.46,77.40,91.00,90,Sangat Baik,Lunas,Lulus
78.01,78.54,87.00,90,Sangat Baik,Lunas,Lulus
80.23,78.80,80.00,90,Sangat Baik,Lunas,Lulus
82.12,82.49,87.00,90,Sangat Baik,Lunas,Lulus
76.20,72.03,85.00,90,Sangat Baik,Lunas,Lulus
79.37,79.29,90.00,90,Sangat Baik,Lunas,Lulus
77.11,76.46,87.00,90,Sangat Baik,Lunas,Lulus
80.59,81.23,87.00,90,Baik,Lunas,Lulus
83.37,84.19,91.00,80,Baik,Lunas,Lulus
78.86,77.68,81.00,80,Baik,Lunas,Lulus
86.24,86.20,90.00,80,Baik,Lunas,Lulus
74.96,74.43,86.00,80,Baik,Lunas,Lulus
75.77,74.87,87.00,80,Sangat Baik,Lunas,Lulus
80.86,80.88,86.00,80,Sangat Baik,Lunas,Lulus
76.01,74.87,82.00,80,Sangat Baik,Lunas,Lulus
79.43,79.97,92.00,80,Sangat Baik,Lunas,Lulus
79.02,80.38,87.00,80,Baik,Lunas,Lulus
80.14,77.05,88.00,80,Baik,Lunas,Lulus
79.14,78.32,90.00,80,Baik,Lunas,Lulus
80.75,79.68,88.00,80,Baik,Lunas,Lulus
80.50,82.62,88.00,80,Baik,Lunas,Lulus
79.25,81.67,62.00,80,Sangat Baik,Lunas,Tidak Lulus
80.42,82.80,86.00,80,Sangat Baik,Lunas,Lulus
82.36,85.00,88.00,80,Sangat Baik,Lunas,Lulus
85.36,80.33,87.00,80,Baik,Lunas,Lulus
82.65,82.17,92.00,80,Baik,Lunas,Lulus
77.38,78.30,85.00,80,Baik,Lunas,Lulus
82.14,82.82,88.00,80,Baik,Lunas,Lulus
84.06,79.77,91.00,80,Baik,Lunas,Lulus
78.02,79.12,85.00,80,Baik,Lunas,Lulus
79.18,80.17,94.00,80,Baik,Lunas,Lulus
79.37,80.32,84.00,80,Baik,Lunas,Lulus
71.40,70.67,86.00,80,Baik,Lunas,Lulus
81.62,81.27,94.00,80,Baik,Lunas,Lulus
80.61,83.30,89.00,80,Baik,Lunas,Lulus
79.79,82.70,79.00,80,Baik,Lunas,Lulus
82.58,79.85,95.00,80,Baik,Lunas,Lulus
84.69,86.45,89.00,80,Baik,Lunas,Lulus
85.02,80.63,93.00,80,Baik,Lunas,Lulus
78.92,80.23,90.00,80,Baik,Lunas,Lulus
82.88,83.22,87.00,80,Baik,Lunas,Lulus
76.18,79.22,85.00,80,Sangat Baik,Lunas,Lulus
81.09,78.77,89.00,80,Sangat Baik,Lunas,Lulus
74.57,73.23,89.00,80,Sangat Baik,Lunas,Lulus
75.80,78.28,88.00,80,Sangat Baik,Lunas,Lulus
78.16,80.27,84.00,80,Sangat Baik,Lunas,Lulus
76.93,77.38,85.00,80,Sangat Baik,Belum,Tidak Lulus
76.44,76.77,74.00,80,Sangat Baik,Lunas,Lulus
76.02,75.83,91.00,80,Sangat Baik,Lunas,Lulus
